time,open,high,low,close,Fundezy Fast SMA (5),Fundezy Slow SMA (200),Fundezy SuperTrend,Fundezy Fast MA,Fundezy Medium MA,Fundezy Slow MA,Fundezy Coloured MA,Fundezy 3xMA Direction,Fundezy LONG Entry,Fundezy SHORT Entry,Fundezy ColouredMA Arrow,Buy Signal,EMA,VIX · TVC: close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1780974000,4360.1,4366.5,4355.2,4361.1,4353.45999999999,4476.5105000000085,,4355.833766191444,4387.638621793868,4415.175295525971,4343.449382716037,,0,0,,0,4382.742001895913,,50.58266300138736,46.82069732097233,,,,
1780977600,4360.8,4364.1,4348.6,4356.5,4356.57999999999,4476.165000000008,,4355.894332901313,4386.5265281583725,4413.871400069838,4344.095370370358,,0,0,,0,4381.712903782348,,48.268381959110386,47.07083746297428,,,,
1780981200,4356.9,4375.7,4354.8,4367.9,4361.33999999999,4475.822000000008,,4356.985757183012,4385.8612950098595,4412.84981340162,4344.974382716037,,0,0,,0,4381.171221281079,,53.897849221438385,47.615122314224216,,,,
1780984800,4368.1,4373.2,4354.1,4354.4,4360.05999999999,4475.470500000008,,4356.750688348192,4384.737677330936,4411.5509286593615,4345.887037037025,,0,0,,0,4380.121369466135,,47.329493125679235,47.419587745265446,,,,
1780988400,4354.4,4358.9,4346,4350.2,4358.019999999991,4475.056500000008,,4356.155171225629,4383.504188854831,4410.187574689154,4346.800925925914,,0,0,,0,4378.947982428247,,45.47281221138918,47.12020969927704,,,,
1780992000,4350.1,4360.8,4344.5,4350.4,4355.879999999991,4474.633000000008,,4355.63197384148,4382.32189639573,4408.858961918284,4347.694753086408,,0,0,,0,4377.828453705571,18.12,45.58228623998721,46.872808540274534,,,,
1780995600,4350.2,4359.5,4347.9,4356,4355.779999999991,4474.166000000008,,4355.665430764982,4381.38182866731,4407.6843183201,4348.55123456789,,0,0,,0,4376.972435913195,18.08,48.688662445713085,46.97729700998336,,,,
1780999200,4356,4365.2,4349.1,4363.3,4354.8599999999915,4473.7380000000085,,4356.359482513621,4380.736049072049,4406.6980001352085,4349.361419753074,,0,0,,0,4376.436261955815,18.11,52.49552987980237,47.58568016041805,,,,
1781002800,4363.3,4368.3,4359.9,4364.3,4356.839999999991,4473.293000000008,,4357.081347739655,4380.149047319476,4405.7558223544265,4350.09660493826,,0,0,,0,4375.960330114411,18.02,53.009837768319414,48.11238421737973,,,,
1781006400,4364.4,4369,4359,4365.4,4359.879999999991,4472.874500000008,,4357.837588854231,4379.622295629495,4404.859026302106,4350.8518518518395,,0,0,,0,4375.546199521688,18.18,53.604867268395125,48.74845578147464,,,,
1781010000,4366.1,4388.6,4349.1,4353.2,4360.439999999991,4472.366000000008,,4357.415989867483,4378.678642214156,4403.711047939837,4351.6120370370245,,0,0,,0,4374.669877971818,17.99,46.562485890247764,49.17652372930711,,,,
1781013600,4352.9,4360.3,4302.1,4325,4354.239999999992,4471.551000000008,,4354.469081697712,4376.761547849364,4401.961913541174,4352.291975308629,,0,0,,0,4372.722039619982,18.4,35.08770822491361,48.66116083720125,,,,
1781017200,4324.8,4326.4,4287.1,4296.7,4340.919999999992,4470.646000000008,,4349.21734699792,4373.902206854745,4399.622759906925,4352.736111111099,,0,0,,0,4369.740783164296,20.59,27.708052074174546,47.03830045863964,,,,
1781020800,4296.5,4305.3,4259.9,4276,4323.259999999992,4469.588000000008,,4342.561224543563,4370.4056994670755,4396.875587464549,4352.914814814802,,0,0,,0,4366.064674020598,21.79,23.770019881956458,45.147189228036716,,,,
1781024400,4276.1,4292.7,4275.1,4287.2,4307.619999999992,4468.822000000007,,4337.5283859486935,4367.434067343252,4394.43835218756,4352.916358024679,,0,0,,0,4362.971941706065,20.94,29.600139012090565,43.64843751451552,,,,
1781028000,4287.5,4298.8,4283.6,4294.4,4295.8599999999915,4468.172000000008,,4333.607623589722,4364.8257077952785,4392.215277694503,4352.681481481468,,0,0,,0,4360.282845952886,19.76,33.140239548900084,42.56785591378621,,,,
1781031600,4294.6,4296.1,4274,4282.7,4287.399999999991,4467.5635000000075,,4328.979657808838,4361.89264680259,4389.7816048568475,4352.095987654308,,0,0,,0,4357.240381405714,19.95,30.459783700636038,40.89370837658605,,,,
1781035200,4282.8,4286.1,4280,4284.8,4285.019999999991,4466.976500000008,,4324.963325280762,4359.139337988212,4387.448680304473,4351.152160493814,,0,1,,0,4354.399582134902,19.88,31.530242413378986,39.7651904685646,,,,
1781042400,4276.1,4281.1,4255.4,4260.4,4281.899999999992,4466.1930000000075,,4319.09393207342,4355.612933060062,4384.625376297707,4349.749382716037,,0,0,,0,4350.713324011965,,26.43791517628921,38.405554966057466,,,,
1781046000,4260.1,4270.6,4233,4245.1,4273.479999999991,4465.352000000008,,4312.367210975836,4351.666042593631,4381.52481237998,4347.886419753074,,0,0,,0,4346.571625031103,,23.838076008533847,36.85239709238222,,,,
1781049600,4245.2,4251.1,4222,4241.6,4262.919999999992,4464.474000000007,,4305.933828159851,4347.735112501001,4378.41537210487,4345.505555555543,,0,0,,0,4342.455090716158,,23.274235848995502,35.0370809069024,,,,
1781053200,4242.2,4242.5,4207.2,4212.2,4248.819999999992,4463.451000000007,,4297.41257105441,4342.894572768822,4374.721697169206,4342.691666666654,,0,0,,0,4337.347047942975,,19.17203447478974,32.65683123511578,,,,
1781056800,4212.9,4216.5,4196.9,4197.8,4231.419999999993,4462.320000000008,,4288.356882776737,4337.712623741364,4370.790103898779,4339.431481481468,,0,0,,0,4331.8746146903095,,17.541231585544963,30.123359364917604,,,,
1781060400,4197.5,4210.2,4195.5,4208.7,4221.079999999993,4461.295500000007,,4281.115347978852,4333.105030036315,4367.188101589917,4335.738271604925,,0,0,,0,4327.04423764363,,22.888144532573435,27.92930774093034,,,,
1781064000,4208.9,4211.2,4194.2,4198,4211.659999999993,4460.194500000007,,4273.559407253501,4328.27985039216,4363.42836599903,4331.5567901234435,,0,0,,0,4321.983679304664,,21.41981368927621,26.133402583718087,,,,
1781067600,4197.7,4232.2,4196.3,4228.7,4209.079999999993,4459.028500000008,,4269.481279321365,4324.723427163869,4360.434402310162,4326.968518518505,,0,0,,0,4318.325495802521,,34.41936176225201,26.08566355067083,,,,
1781071200,4228.6,4245.5,4225.1,4227.1,4212.059999999992,4457.861000000007,,4265.628435746696,4321.2368761937305,4357.471415592158,4321.958950617271,,0,0,,0,4314.748025378893,,34.10271832684148,26.542425425861325,,,,
1781074800,4226.7,4231,4205,4209.7,4214.439999999993,4456.408000000008,,4260.544032496996,4317.253416329669,4354.187606356777,4316.462654320974,,0,0,,0,4310.628494971877,,30.785818680845466,27.043553911496254,,,,
1781078400,4209.4,4211,4184,4191.7,4211.039999999992,4454.804000000007,,4254.285484088178,4312.769365746466,4350.57677065996,4310.485185185172,,0,0,,0,4305.964632423961,20.36,27.77612102515954,26.91326691242975,,,,
1781082000,4192,4202.6,4185.6,4191.6,4209.759999999993,4453.053000000007,,4248.5868037165255,4308.441888398378,4347.043953534183,4304.174074074061,,0,0,,0,4301.479744877924,21.31,27.759884167229302,26.52895581373898,,,,
1781085600,4191.6,4201.5,4178.5,4197.5,4203.519999999992,4451.344500000007,,4243.942548833205,4304.479678098436,4343.720754566757,4297.733024691344,,0,0,,0,4297.4021078238875,21.02,30.346948551927653,26.520896160259806,,,,
1781089200,4197.5,4198.6,4168.2,4170.2,4192.139999999993,4449.533000000008,,4237.238680757459,4299.683975309206,4339.864737798607,4291.198456790111,,0,0,,0,4292.413789870009,21.46,25.75151126595665,26.108129649729637,,,,
1781092800,4169.9,4197.3,4152,4169.6,4184.119999999993,4447.7375000000075,,4231.089709779509,4295.038119048163,4336.081076958638,4284.466666666654,,0,0,,0,4287.597562816283,21.8,25.659543839556292,26.052531697105856,,,,
1781096400,4170.1,4209.5,4154.9,4203,4186.379999999993,4446.116000000007,,4228.536099799553,4291.751043367872,4333.1237196928905,4277.606172839493,,0,0,,0,4284.280011333291,21.01,38.76894750378176,27.119022518194992,,,,
1781100000,4202.6,4204.1,4139.7,4147.1,4177.479999999993,4444.243000000008,,4221.1328179995935,4286.584934676162,4328.989859255271,4270.56820987653,,0,0,,0,4278.900403045712,20.39,29.418567506919743,27.557903350903867,,,,
1781103600,4147.7,4159.7,4129.6,4151.9,4168.359999999992,4442.374500000008,,4214.838925454176,4281.774758437728,4325.054529049598,4263.353395061717,,0,0,,0,4273.919995083134,21.55,30.95838866004847,28.399785792708062,,,,
1781107200,4152.7,4158.8,4138.7,4144.6,4163.2399999999925,4440.471000000008,,4208.453568594706,4276.875659922095,4321.044428404051,4256.09197530863,,0,0,,0,4268.848622726933,21.98,29.89037339638874,29.281867350625475,,,,
1781110800,4144.5,4157.6,4123.5,4134.9,4156.299999999993,4438.4610000000075,,4201.766880540642,4271.805100639163,4316.907885550628,4248.834259259247,,0,0,,0,4263.595735561171,21.62,28.484206732207724,29.68158607917078,,,,
1781114400,4135.3,4144,4120.2,4125,4140.6999999999925,4436.427500000007,,4194.788073218765,4266.562061330622,4312.643265871725,4241.60648148147,,0,0,,0,4258.160608676419,21.26,27.08377237642169,30.08615455682403,,,,
1781118000,4125.4,4125.8,4105,4106.2,4132.519999999992,4434.303000000007,,4186.734612017059,4260.8348448545285,4308.055637741242,4234.490432098753,,0,0,,0,4252.20136912048,22.18,24.609389997798345,29.385442287934477,,,,
1781121600,4106,4106.4,4090.1,4094.1,4120.959999999994,4432.050000000007,,4178.313283651872,4254.880028966867,4303.3010680136595,4227.524691358012,,0,0,,0,4246.001315429481,22.23,23.14382526639301,28.602664212188163,,,,
1781128800,4094.4,4094.4,4059.2,4069.1,4105.859999999992,4429.666500000007,,4168.384803319883,4248.245027932336,4298.096599835578,4220.565432098753,,0,0,,0,4239.06400894205,,20.435896847904345,27.8633840812638,,,,
1781132400,4069.2,4087.2,4046.2,4069.7,4092.8199999999924,4427.243000000007,,4159.41345756353,4241.868419791896,4293.021119839232,4213.697839506161,,0,0,,0,4232.422283101186,,20.675782217498792,27.356217023573745,,,,
1781136000,4070.9,4100,4058,4097.5,4087.3199999999924,4424.953000000007,,4153.784961421391,4236.7124047993275,4288.676206065026,4206.8407407407285,,0,0,,0,4227.1312131756495,,31.048831663754783,27.591141844754134,,,,
1781139600,4097.3,4138.5,4087.4,4122.4,4090.5599999999927,4422.841500000007,,4150.931783110355,4232.629818913637,4284.981179263581,4200.0839506172715,,0,0,,0,4223.024106776605,,38.77191246928204,28.192924981708018,,,,
1781143200,4122.8,4122.9,4073.4,4089.3,4089.5999999999926,4420.478000000007,,4145.328893736687,4227.510896809578,4280.63270861328,4193.436111111099,,0,0,,0,4217.780024157914,,33.41405174309264,28.740249301503443,,,,
1781146800,4089.4,4099.8,4078.1,4094,4094.579999999992,4418.100000000008,,4140.662630669715,4222.742650494951,4276.48531508854,4186.985185185174,,0,0,,0,4212.925905563487,,34.79198979147105,29.392566869497355,,,,
1781150400,4094.4,4107.4,4091.2,4103.8,4101.399999999992,4415.7735000000075,,4137.311482427014,4218.494698691559,4272.647863642128,4180.674999999988,,0,0,,0,4208.646458286487,,37.687564219356084,29.315325206324093,,,,
1781154000,4104.3,4127.4,4093.8,4115.5,4104.999999999992,4413.5810000000065,,4135.328620388194,4214.816316595432,4269.155688894525,4174.417901234557,,0,0,,0,4204.993656000743,,41.052990128875614,30.146355393606655,,,,
1781157600,4115,4118.5,4097,4115.7,4103.659999999992,4411.323000000007,,4133.544200352904,4211.276448145595,4265.745562474647,4168.319135802458,,0,0,,0,4201.491944000713,,41.111539781390256,30.871580473702497,,,,
1781161200,4115.6,4131.5,4112,4125.8,4110.959999999992,4408.976000000006,,4132.840182139003,4208.223717854681,4262.635661086321,4162.448148148136,,0,0,,0,4198.523632471273,,44.12955044007759,31.8886645482517,,,,
1781164800,4125.7,4133.6,4105.6,4105.6,4113.2799999999925,4406.493500000007,,4130.363801944549,4204.558585074157,4259.145979728847,4156.558641975297,,0,0,,0,4194.879568452792,20.59,39.74261094379455,32.692836277650756,,,,
