time,open,high,low,close,Volume
1761614400,23.49,23.49,22.95,23.22,
1761787200,23.87,23.98,21.88,21.89,
1761873600,21.6,21.6,20.57,21.1,
1762132800,21.49,21.49,20.91,21.14,
1762219200,21.12,21.58,20.61,21.26,
1762305600,22.77,23.05,21.6,21.76,
1762392000,21.03,21.12,20.32,20.95,
1762478400,21.08,21.64,20.99,21.53,
1762737600,21.41,21.71,20.9,21.64,
1762824000,21.67,21.82,20.41,21.3,
1762910400,20.54,20.8,19.77,20.29,
1762996800,20.36,21.06,20.09,20.74,
1763083200,20.74,21.49,20.16,21.13,
1763342400,21.3,21.97,21.18,21.33,
1763428800,21.71,23.35,21.61,22.44,
1763515200,22.48,23.44,21.67,21.94,
1763601600,21.63,22.44,20.46,20.86,
1763688000,22.18,23.31,21.82,23.31,
1763947200,22,22.78,21.27,21.34,
1764033600,21.31,21.62,20.61,21.41,
1764120000,19.96,20.54,19.23,19.39,
1764206400,19.16,19.38,18.33,18.69,
1764292800,18.37,18.91,17.94,18.17,
1764552000,18.66,18.68,18.08,18.38,
1764638400,18.07,18.27,17.82,17.97,
1764724800,18.13,18.21,17.84,18.21,
1764811200,18.29,18.51,17.91,18.13,
1764897600,18.05,18.09,17.51,17.55,
1765156800,18.27,18.3,17.91,18.24,
1765243200,18.54,18.54,17.78,18.36,
1765329600,18.54,18.83,18.27,18.55,
1765416000,17.82,17.92,17.51,17.58,
1765502400,17.3,17.36,16.94,17.28,
1765761600,18.06,18.08,17.43,17.56,
1765848000,17.55,18.61,17.37,18.47,
1765934400,18.3,18.41,17.51,17.57,
1766020800,17.92,18.08,17.43,17.67,
1766107200,17.58,17.67,17.11,17.11,
1766366400,17.3,17.52,17.05,17.36,
1766452800,16.95,17.28,16.65,16.71,
1766539200,16.57,16.7,16.35,16.46,
1766971200,17.68,18.11,17.61,18.08,
1767057600,18,18.19,17.4,18.04,
1767144000,18.82,19.05,18.6,18.98,
1767316800,19.08,20.33,19.02,20.03,
1767576000,20.18,20.49,19.43,20.46,
1767662400,20.38,21.62,20.38,21.48,
1767748800,20.88,21.69,20.72,21.63,
1767835200,21.23,22.02,20.47,21.6,
1767921600,21.33,21.44,20.37,20.7,
1768180800,20.65,21.16,20.03,21.1,
1768267200,21.43,22.16,21.17,21.4,
1768353600,21.18,21.96,20.48,21.94,
1768440000,21.41,22.09,20.8,21.3,
1768526400,21.45,21.54,19.96,20.68,
1768785600,20.7,21.15,20.48,20.69,
1768872000,20.53,20.74,19.96,20.35,
1768958400,20.37,20.48,19.49,20.45,
1769044800,19.54,20.15,19.49,19.99,
1769131200,19.62,20.2,19.33,20.08,
1769390400,19.87,20.59,19.87,20.19,
1769476800,19.8,20.72,19.77,20.45,
1769563200,20.08,22.66,20.07,22.55,
1769649600,20.5,22.76,20.43,22.08,
1769736000,21.58,22.8,20.87,22.55,
1769995200,23.74,26.07,23.13,24.4,
1770081600,22.56,25.56,21.55,23.4,
1770168000,23.47,23.86,22.49,22.49,
1770254400,23.81,24.93,23.29,23.43,
1770340800,25.31,25.54,23.83,24.01,
1770600000,22.77,23.45,22.53,23.02,
1770686400,22.92,23.17,21.36,22.03,
1770772800,21.97,22.19,21.25,21.38,
1770859200,21.56,21.93,21.14,21.27,
1770945600,21.91,23.56,21.69,23.28,
1771204800,22.2,24.4,22.2,24.27,
1771550400,22.31,24.42,22.31,24.36,
1771809600,23.29,25.12,23.07,24.61,
1771896000,23.51,25.17,23.51,24.47,
1771982400,23.27,24.04,22.43,23.09,
1772068800,21.78,23.3,21.75,23.28,
1772155200,23.54,23.54,21.88,22.18,
1772414400,23.84,25.94,23.47,25.47,
1772500800,24.21,26.43,24.11,26.25,
1772587200,28.98,31.82,26.94,28.42,
1772673600,24.72,27.91,24.72,26.55,
1772760000,27.03,27.21,25.79,26.73,
1773019200,31.98,33.15,27.79,28.92,
1773105600,25.32,26.04,24.59,25.6,
1773192000,24.86,25.38,24.36,25.24,
1773278400,25.63,26.27,24.98,25.56,
1773364800,24.46,26.51,24.46,26.42,
1773624000,25.32,26.52,24.54,24.97,
1773710400,23.3,23.93,22.98,23.62,
1773796800,22.55,23.07,22.08,22.85,
1773883200,23.93,24.53,22.77,24.41,
1773969600,23.35,24.94,22.54,24.1,
1774228800,26.84,30.15,26.26,28.84,
1774315200,26.54,27.99,26.5,27.11,
1774401600,26.06,27.49,25.55,26.81,
1774488000,25.89,29,25.89,28.89,
1774574400,28.62,29.67,27.78,28.02,
1774833600,27.84,29.97,27.59,29.22,
1774920000,27.89,28.62,27.24,27.85,
1775006400,24.99,25.77,24.49,25.6,
1775092800,25.88,27.09,25.52,26.08,
1775611200,23.02,23.76,22.66,23.66,
1775697600,23.53,23.94,22.95,23.48,
1775784000,22.4,22.6,22.13,22.51,
1776043200,23.25,23.76,22.92,23.13,
1776129600,21.99,22.34,21.07,21.53,
1776216000,20.37,21.24,20.37,21.22,
1776302400,20.94,21.64,20.9,21.62,
1776388800,20.68,21.23,20.52,20.89,
1776648000,21.55,22.18,21.23,22.18,
1776734400,21.56,22.05,21.4,21.67,
1776820800,21.14,21.63,20.82,20.89,
1776907200,20.42,21.56,20.42,21.14,
1776993600,21.07,21.29,20.29,20.76,
1777252800,21.01,21.42,20.64,20.69,
1777339200,20.25,20.76,20.06,20.52,
1777425600,20.12,20.36,19.73,20.13,
1777512000,19.55,21.39,19.43,21.29,
1777857600,20.47,21.3,20.47,20.94,
